serviceId,serviceName,pageUrl,pageHttpStatus,available,introduction,feeCount,feeInfo,documentCount,mandatoryDocumentCount,requiredDocuments,contact,timeLimit,formSectionCount,formFieldCount
26,Name transfer (Mutation) of Property Municipal area,https://cgedistrict.cgstate.gov.in/instractionPageNew.do?lang=en&serviceId=26,200,Yes,"Name transfer (Mutation) of Property Municipal area The process of name transfer, or mutation, of a property within a municipal area is a vital administrative procedure that records a change in the ownership of a property in the official municipal records. This is a mandatory step after any property transaction, such as sale, inheritance, gift, or will, and is crucial for updating tax liabilities and legal ownership. The service is designed to be user-friendly, providing a step-by-step guide for submitting an application. Applicants need to register on the portal, select the ""Mutation of Property"" service, and fill in the required details, including property address, previous owner's details, and the new owner's information. The portal also allows for the easy upload of necessary documents. Once the application is submitted, a unique reference number is generated, which can be used to track the application's status in real-time. The application is then routed to the concerned municipal authority for verification. After due diligence and verification, the competent authority approves the mutation, and the updated property records can be downloaded from the e–District portal. Once approved, the applicant receives an SMS notification and can download the Revenue Service (Agricultural Land Diverted for Mutation details directly from the portal, Record validity is permanent and has no expiry.",2,Lok Seva Kendra: ₹30.0 | Online: ₹30.0,5,5,Identity Proof -> Identity Proof (Yes) | Copy Of Sale Deed Of Property -> Copy Of Sale Deed Of Property (Yes) | House Map -> House Map (Yes) | Last Paid Property Tax Receipt -> Last Paid Property Tax Receipt (Yes) | Abedan Form -> Abedan Form (Yes),Lok Seva Kendra,30 Days,3,24
27,Request for Nakal of document From Bhuiyan(copy of land record etc),https://cgedistrict.cgstate.gov.in/instractionPageNew.do?lang=en&serviceId=27,200,Yes,,2,Lok Seva Kendra: ₹10.0 | Online: ₹10.0,0,0,,Lok Seva Kendra,15 Days,1,6
28,Registration for Job-Seekers,https://cgedistrict.cgstate.gov.in/instractionPageNew.do?lang=en&serviceId=28,200,Yes,,2,Lok Seva Kendra: ₹30.0 | Online: ₹30.0,0,0,,Lok Seva Kendra,1 Days,0,0
29,New Permanent Driving License for Motor Vehicle,https://cgedistrict.cgstate.gov.in/instractionPageNew.do?lang=en&serviceId=29,200,Yes,,2,Lok Seva Kendra: ₹30.0 | Online: ₹30.0,12,5,"Residential Proof -> Domicile Certificate (Yes) |  -> Ration Card () |  -> Electricity Bill () |  -> Other Documents () |  -> Land And House Document () |  -> Certificate From Ward Member, Local Mla/Mp () | Birth Proof -> Birth Certificate (Yes) |  -> School Certificate () |  -> High School(10th) Certificate () | Affidavit -> Affidavit (Yes) | Original Learner Licence -> Original Learner Licence (Yes) | Certificate Of Competence To Drive Vehicle -> Certificate Of Competence To Drive Vehicle (Yes)",Lok Seva Kendra,30 Days,1,15
30,New Learner License,https://cgedistrict.cgstate.gov.in/instractionPageNew.do?lang=en&serviceId=30,200,Yes,,2,Lok Seva Kendra: ₹30.0 | Online: ₹30.0,12,4,"Residential Proof -> Domicile Certificate (Yes) |  -> Ration Card () |  -> Electricity Bill () |  -> Other Documents () |  -> Land And House Document () |  -> Certificate From Ward Member, Local Mla/Mp () | Birth Proof -> Birth Certificate (Yes) |  -> School Certificate () |  -> High School(10th) Certificate () | Photo -> Photograph (No) | Form 1 -> Form 1 (Yes) | Form 1a [Medical Certificates As Issued By Any M.B.B.S. Doctor] -> Form 1a [Medical Certificates As Issued By Any M.B.B.S. Doctor] (Yes)",Lok Seva Kendra,18 Days,1,14
31,Application for Fitment Certificate (Vehicle),https://cgedistrict.cgstate.gov.in/instractionPageNew.do?lang=en&serviceId=31,200,Yes,,2,Lok Seva Kendra: ₹30.0 | Online: ₹30.0,14,6,"Residential Proof -> Domicile Certificate (Yes) |  -> Ration Card () |  -> Land And House Document () |  -> Electricity Bill () |  -> Other Documents () |  -> Certificate From Ward Member, Local Mla/Mp () | Birth Proof -> Birth Certificate (Yes) |  -> School Certificate () |  -> High School(10th) Certificate () | Affidavit -> Affidavit (Yes) | Application Form 20 -> Application Form 20 (Yes) | Sales Certification Form 21 -> Sales Certification Form 21 (Yes) | Valid Insurance Certificate -> Valid Insurance Certificate (Yes) | Loi From S.T.A. ( For Commercial Passenger Vehicles) -> Loi From S.T.A. ( For Commercial Passenger Vehicles) (No)",Lok Seva Kendra,60 Days,1,15
32,Application for Indira Gandhi Disability Pension Yojana,https://cgedistrict.cgstate.gov.in/instractionPageNew.do?lang=en&serviceId=32,200,Yes,"Indira Gandhi Disability Pension Yojana The Indira Gandhi Disability Pension Yojana provides financial assistance to eligible persons with disabilities in Chhattisgarh. Citizens can apply for this service either by creating an account and applying directly on the eDistrict Portal, or by visiting their nearest Lok Seva Kendra (LSK) or Common Service Centre (CSC) for assistance. After logging in, applicants need to select the “Application for Indira Gandhi Disability Pension Yojana” service under the Social Welfare section, fill out the online form, and upload the mandatory supporting documents. Once the application is submitted successfully, a unique acknowledgment number(ARN) is generated for tracking the status. The application is then forwarded to the concerned authority for verification, and if found eligible, it is approved. The sanctioned pension amount is credited directly to the beneficiary’s bank or post office account, ensuring timely and transparent delivery of benefits.",2,Lok Seva Kendra: ₹30.0 | Online: ₹30.0,11,4,Domicile Certificate -> Issued By Gazetted Officer Or Ombudsman (Yes) |  -> Issued By Councillor () | Age Proof Document -> Sarpanch Or In Case Of Urban Area Mayor (Yes) |  -> Administrator () |  -> Officer Authorized By The President () |  -> Birth Registration Certificate () |  -> Doctors Certificate () |  -> School Certificate () | Disability Certificate -> Certificate Issued Pursuant To The Provisions Of The Persons With Disabilities Act -1995 (Yes) | Below Poverty Line Related Document -> Bpl Certificate (Yes) | Bank/Post Office Account Passbook -> Bank/Post Office Account Passbook (No),Lok Seva Kendra,60 Days,4,33
33,Food Registration(Application for Hawker Stall),https://cgedistrict.cgstate.gov.in/instractionPageNew.do?lang=en&serviceId=33,200,Yes,,2,Lok Seva Kendra: ₹30.0 | Online: ₹30.0,7,3,Affidavit -> Affidavit (Yes) | Certificate/Document -> Copy Of Partnership Records (No) | Necessary Documents -> Identity Proof (Yes) |  -> Tax Receipt () |  -> Receipt/Challan Of Registration Fee () |  -> Address Proof () | Photo -> Applicant Photo (Yes),Lok Seva Kendra,15 Days,0,0
34,,https://cgedistrict.cgstate.gov.in/instractionPageNew.do?lang=en&serviceId=34,,No,,0,,0,0,,,,0,0
35,Revenue Services (Agricultural Land/Diverted Demarcation),https://cgedistrict.cgstate.gov.in/instractionPageNew.do?lang=en&serviceId=35,200,Yes,"Revenue Services (Agricultural Land/Diverted RBC 6(4) - Relief Support (Natural Calamity)) In Chhattisgarh, obtaining services related to Revenue Services Agricultural Land/Diverted RBC 6(4) – Relief Support (Natural Calamity) service in Chhattisgarh can be applied by farmers, landowners, or leaseholders whose land/crops are damaged due to natural calamities (flood, drought, hailstorm, fire, etc.), as verified by the Revenue Department within the jurisdiction of a District, Revenue Tehsil, Revenue Village, and the process can be completed easily through the eDistrict Portal. Applicants need to register on the portal with their personal details or apply through LSK/CSC login, and select the “Revenue Services (Agricultural Land/Diverted RBC 6(4) - Relief Support (Natural Calamity))” service, after which they must fill out the application form with accurate details. Upon submission, a unique Acknowledgment Number (ARN) is generated for tracking the application, which is generally processed within 90 working days. Once approved under RBC 6(4) Relief Support, the applicant receives an SMS notification and can download the digitally signed approval certificate directly from the portal. The document remains valid as an essential legal record for claiming disaster relief assistance, land-related transactions, government schemes, inheritance, and other official purposes.",2,Lok Seva Kendra: ₹30.0 | Online: ₹30.0,26,15,Address Proof -> Address Proof (Yes) | Khasara -> B1 (Yes) |  -> Khasara () | Naksha -> Naksha (Yes) | Challanfees Per Khasra -> Challanfees Per Khasra (Yes) | Copy Of Fir -> Copy Of Fir (Yes) | No Dues From Bank -> No Dues From Bank (No) | Affidavit -> Affidavit (Yes) | Affidavit Of Account Holder -> Affidavit Of Account Holder (Yes) | Form C -> Aadhaar (No) |  -> Driving License () |  -> Voter Id () | Fauti(Death Certificate) -> Fauti(Death Certificate) (No) | Advertisement Fees -> Advertisement Fees (Yes) | Talbana -> Talbana (Yes) | Department Fees -> Department Fees (Yes) | Demarcation Related Other Documents -> VAASUDEVA (Yes) | Application Form Along With Fee -> Application Form Along With Fee (Yes) | Property Details -> Property Details (Yes) | Valuation Certificate Of Property -> Land (Yes) |  -> House () |  -> Land & House () | Power Of Attorney/Vakaltnama -> Power Of Attorney (Yes) |  -> Vakaltnama () | Other Documents (Photograph Of Damaged Property) -> Other Documents (Photograph Of Damaged Property) (No) | Other Document 1 -> Other Document 1 (No),Lok Seva Kendra,30 Days,1,7
36,Revenue Services (Nazul Land Patta Renewal),https://cgedistrict.cgstate.gov.in/instractionPageNew.do?lang=en&serviceId=36,200,Yes,"Revenue Services (Nazul Land Patta Renewal) Revenue Services (Nazul Land Patta Renewal) provides citizens of Chhattisgarh with the facility to renew their Nazul land pattas after the expiry of the lease period, ensuring continued legal possession and use of government-allotted land. Citizens can apply for this service either by creating an account and applying directly on the eDistrict Portal, or by visiting their nearest Lok Seva Kendra (LSK) or Common Service Centre (CSC) for assistance. After logging in, applicants need to select the “Revenue Services (Nazul Land Patta Renewal)” option under the Revenue section, fill out the online application form, and upload the required supporting documents. Once the application is submitted successfully, a unique acknowledgment number (ARN) is generated, which can be used to track the status of the application. The application is then forwarded to the concerned Revenue authority for verification of land details, ownership records, and compliance with renewal conditions. Upon successful verification and approval, the Nazul land patta is renewed and the applicant is issued the updated lease document. This service ensures legal validity, transparency, and ease of access for citizens in managing their Nazul land pattas.",2,Lok Seva Kendra: ₹30.0 | Online: ₹30.0,27,13,"Birth Proof -> Bpl Certificate (No) | Earnest Money, Hibbanama, Dastbardaranama, Pattanama, For Accommodation And Junk -> Presence Between The Person Giving The Land And The Person Receiving The Land Or A Special Power Of Attorney Appointed By Him (Yes) |  -> Copy Of Registered Will () | For Succession -> In Case Of Succession, Testimony Is Given By The Heir (Yes) |  -> Affidavit () |  -> Numberdar Of Your Village () |  -> Death Proof (Certificate) () |  -> Affidavit Regarding Inheritance () | Transformation, Ownership And Division -> Copy Of Court Order Or Attested Copy Of Mutual Decision (Yes) | Fakarahan -> Attested Copy Of Mutual Decision (Yes) | Fakpatta -> Copy Of First Lease And Proof Of Lease Expiry Date (Yes) | Khasara -> Khasara (Yes) | Naksha -> Naksha (Yes) | Affidavit Of Account Holder -> Affidavit Of Account Holder (Yes) | Advertisement Fees -> Advertisement Fees (Yes) | Talbana -> Talbana (Yes) | Demarcation Related Other Documents -> Demarcation Related Other Documents (No) | Application Form Along With Fee -> Application Form Along With Fee (Yes) | Original Nazul Patta Copy -> Original Nazul Patta Copy (No) | Power Of Attorney/Vakaltnama -> Power Of Attorney (Yes) |  -> Vakaltnama () | Land Related Document -> Registry Copy (No) | Proof Of Mutation -> Others (Yes) |  -> Vasiyat/Hibanama () |  -> Sales Letter () |  -> Registered Gift Deed () | Other Document 1 -> Other Documents (No)",Lok Seva Kendra,30 Days,1,9
37,Revenue Services (Nazul Land Patta NOC),https://cgedistrict.cgstate.gov.in/instractionPageNew.do?lang=en&serviceId=37,200,Yes,"Revenue Services (Nazul Land Patta NOC) Revenue Services (Nazul Land Patta NOC) provides citizens of Chhattisgarh with the facility to obtain a No Objection Certificate (NOC) for their Nazul land pattas, which is required for legal transactions such as sale, lease, or development of government-allotted land. Citizens can apply for this service either by creating an account and applying directly on the eDistrict Portal, or by visiting their nearest Lok Seva Kendra (LSK) or Common Service Centre (CSC) for assistance. After logging in, applicants need to select the “Revenue Services (Nazul Land Patta NOC)” option under the Revenue section, fill out the online application form, and upload the required supporting documents. Once the application is submitted successfully, a unique acknowledgment number (ARN) is generated, which can be used to track the status of the application. The application is then forwarded to the concerned Revenue authority for verification of land details, ownership records, and compliance with regulations. Upon successful verification and approval, the NOC is issued to the applicant, enabling them to legally proceed with transactions or developments on the Nazul land. This service ensures transparency, accountability, and ease of access to legal land services for citizens.",2,Lok Seva Kendra: ₹30.0 | Online: ₹30.0,16,8,Khasara -> Khasara (Yes) | Naksha -> Naksha (Yes) | Affidavit Of Account Holder -> Affidavit Of Account Holder (Yes) | Advertisement Fees -> Advertisement Fees (Yes) | Talbana -> Talbana (Yes) | Demarcation Related Other Documents -> Demarcation Related Other Documents (No) | Application Form Along With Fee -> Application Form Along With Fee (Yes) | Original Nazul Patta Copy -> Original Nazul Patta Copy (No) | Power Of Attorney/Vakaltnama -> Power Of Attorney (Yes) |  -> Vakaltnama () | Land Related Document -> Registry Copy (No) | Proof Of Mutation -> Others (Yes) |  -> Vasiyat/Hibanama () |  -> Sales Letter () |  -> Registered Gift Deed () | Other Document 1 -> Other Documents (No),Lok Seva Kendra,15 Days,1,9
38,Revenue Service (Solvency Between 5Lac To 25Lac),https://cgedistrict.cgstate.gov.in/instractionPageNew.do?lang=en&serviceId=38,200,Yes,,2,Lok Seva Kendra: ₹30.0 | Online: ₹30.0,13,7,Khasara -> Khasara (Yes) | Naksha -> Naksha (Yes) | B1 -> B1 (Yes) | No Dues From Bank -> No Dues From Bank (No) | Affidavit -> Affidavit (No) | Affidavit Of Account Holder -> Affidavit Of Account Holder (Yes) | Form C -> Form C (No) | Application Form Along With Fee -> Application Form Along With Fee (Yes) | Valuation Certificate Of Property -> Land (Yes) |  -> House () |  -> Land & House () | Other Document 1 -> Other Documents (No) | Ikrarnama With Photograph -> Ikrarnama With Photograph (Yes),Lok Seva Kendra,10 Days,1,7
39,,https://cgedistrict.cgstate.gov.in/instractionPageNew.do?lang=en&serviceId=39,,No,,0,,0,0,,,,0,0
40,Land Use Information,https://cgedistrict.cgstate.gov.in/instractionPageNew.do?lang=en&serviceId=40,200,Yes,,2,Lok Seva Kendra: ₹30.0 | Online: ₹30.0,4,3,Khasara -> Khasara (Yes) |  -> B1 () | Naksha -> Naksha (Yes) | Challan Copy -> Challan Copy (Yes),Lok Seva Kendra,30 Days,1,6
